id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
1,XSAQ0560,SMD,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.161
2,XSAQ0560,SMD,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,192.168.24.22
3,XSAQ0560,SMD,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.160
4,XSAQ0560,SMD,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.161
5,XSAQ0560,SMD,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.162
6,XSAQ0560,ORB,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.161
7,XSAQ0560,ORB,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,192.168.24.22
8,XSAQ0560,ORB,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.160
9,XSAQ0560,ORB,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.161
10,XSAQ0560,ORB,Server,N,N,AIX,12,5.3,9117-570,109187D,SOMERSET,10.9.49.162
11,NTSMAPPSBRE02A,WFS,Server,Y,Y,Microsoft Windows 2000,N/A,5.0.2195,N/A,N/A,N/A,10.43.107.13
12,XSAQ0751,BMC,Server,N,N,AIX,7,6.1,9133-55A,105E7BH,SOMERSET,192.168.22.27
13,XSAQ0751,BMC,Server,N,N,AIX,7,6.1,9133-55A,105E7BH,SOMERSET,160.254.68.225
14,XSAQ0751,BMC,Server,N,N,AIX,7,6.1,9133-55A,105E7BH,SOMERSET,160.254.68.226
15,AVACOS02N01,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,College Station,fe80::a6ba:dbff:fe33:32ac
16,AVACOS02N01,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,College Station,10.23.127.170
17,WSOMPDSAMS03,WDC,Server,N,N,Windows 2008,6002,6.0.6002,ProLiant DL380 G5,USE841NDH8,SOMERSET,160.254.93.23
18,WSOMPDSAMS03,WPS,Server,N,N,Windows 2008,6002,6.0.6002,ProLiant DL380 G5,USE841NDH8,SOMERSET,160.254.93.23
19,AVATPCKVS01N14,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Nashville,160.254.83.160
20,AVATPCKVS01N14,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Nashville,fe80::a6ba:dbff:fe40:6102
21,WTPCPAP9DF01,WFS,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-42 10 2F B9 B2 8A 18 D6-91 94 F5 2C B1 C0 22 87,Nashville,10.59.52.18
22,NTSDIVY106003,WFS,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G4,USE513A3JJ,Uniondale,10.20.3.30
23,NTSDIVY106003,WFS,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G4,USE513A3JJ,Uniondale,10.20.3.30
24,WMTKPAVZTY03,ZTY,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 22 55 1A 05 47 58 3A-F3 F9 65 4B 8B 29 93 9A,Woking,10.144.250.26
25,WSOMPAPGID72,GID,Server,N,N,Microsoft Windows 2000,2195,5.0.2195,N/A,N/A,SOMERSET,160.254.92.25
26,WTPCPAPAES25,AES,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G1,USE835EPSN,Nashville,160.254.147.56
